,text
228,"<|endoftext|>django return a QuerySet list containing the values of field 'eng_name' in model `Employees`: Employees.objects.values_list('eng_name', flat=True)<|endoftext|>"
229,"<|endoftext|>find all digits in string '6,7)' and put them to a list: re.findall('\\d|\\d,\\d\\)', '6,7)')<|endoftext|>"
230,<|endoftext|>prompt string 'Press Enter to continue...' to the console: input('Press Enter to continue...')<|endoftext|>
231,"<|endoftext|>print string ""ABC"" as hex literal: """"""ABC"""""".encode('hex')<|endoftext|>"
232,"<|endoftext|>insert a new field 'geolocCountry' on an existing document  'b' using pymongo: db.Doc.update({'_id': b['_id']}, {'$set': {'geolocCountry': myGeolocCountry}})<|endoftext|>"
233,"<|endoftext|>Write a regex statement to match 'lol' to 'lolllll'.: re.sub('l+', 'l', 'lollll')<|endoftext|>"
234,<|endoftext|>BeautifulSoup find all 'tr' elements in HTML string `soup` at the five stride starting from the fourth element: rows = soup.findAll('tr')[4::5]<|endoftext|>
235,<|endoftext|>reverse all x-axis points in pyplot: plt.gca().invert_xaxis()<|endoftext|>
236,<|endoftext|>reverse y-axis in pyplot: plt.gca().invert_yaxis()<|endoftext|>
237,"<|endoftext|>stack two dataframes next to each other in pandas: pd.concat([GOOG, AAPL], keys=['GOOG', 'AAPL'], axis=1)<|endoftext|>"
238,"<|endoftext|>create a json response `response_data`: return HttpResponse(json.dumps(response_data), content_type='application/json')<|endoftext|>"
239,<|endoftext|>decode escape sequences in string `myString`: myString.decode('string_escape')<|endoftext|>
240,"<|endoftext|>calculate the md5 checksum of a file named  'filename.exe': hashlib.md5(open('filename.exe', 'rb').read()).hexdigest()<|endoftext|>"
241,"<|endoftext|>Find all keys from a dictionary `d` whose values are `desired_value`: [k for k, v in d.items() if v == desired_value]<|endoftext|>"
242,<|endoftext|>create a set containing all keys' names from dictionary `LoD`: {k for d in LoD for k in list(d.keys())}<|endoftext|>
243,<|endoftext|>create a set containing all keys names from list of dictionaries `LoD`: set([i for s in [list(d.keys()) for d in LoD] for i in s])<|endoftext|>
244,<|endoftext|>extract all keys from a list of dictionaries `LoD`: [i for s in [list(d.keys()) for d in LoD] for i in s]<|endoftext|>
245,"<|endoftext|>unpack keys and values of a dictionary `d` into two lists: keys, values = zip(*list(d.items()))<|endoftext|>"
246,<|endoftext|>convert a string `s` containing a decimal to an integer: int(Decimal(s))<|endoftext|>
248,"<|endoftext|>check if array `b` contains all elements of array `a`: numpy.in1d(b, a).all()<|endoftext|>"
249,<|endoftext|>numpy:  check if array 'a' contains all the numbers in array 'b'.: numpy.array([(x in a) for x in b])<|endoftext|>
250,"<|endoftext|>Draw node labels `labels` on networkx graph `G ` at position `pos`: networkx.draw_networkx_labels(G, pos, labels)<|endoftext|>"
251,<|endoftext|>make a row-by-row copy `y` of array `x`: y = [row[:] for row in x]<|endoftext|>
252,"<|endoftext|>Create 2D numpy array from the data provided in 'somefile.csv' with each row in the file having same number of values: X = numpy.loadtxt('somefile.csv', delimiter=',')<|endoftext|>"
253,<|endoftext|>get a list of items from the list `some_list` that contain string 'abc': matching = [s for s in some_list if 'abc' in s]<|endoftext|>
254,"<|endoftext|>export a pandas data frame `df` to a file `mydf.tsv` and retain the indices: df.to_csv('mydf.tsv', sep='\t')<|endoftext|>"
256,"<|endoftext|>split a string `s` on last delimiter: s.rsplit(',', 1)<|endoftext|>"
257,"<|endoftext|>Check if all elements in list `lst` are tupples of long and int: all(isinstance(x, int) for x in lst)<|endoftext|>"
258,"<|endoftext|>check if all elements in a list 'lst' are the same type 'int': all(isinstance(x, int) for x in lst)<|endoftext|>"
259,<|endoftext|>strip a string `line` of all carriage returns and newlines: line.strip()<|endoftext|>
260,"<|endoftext|>scroll to the bottom of a web page using selenium webdriver: driver.execute_script('window.scrollTo(0, Y)')<|endoftext|>"
261,"<|endoftext|>scroll a to the bottom of a web page using selenium webdriver: driver.execute_script('window.scrollTo(0, document.body.scrollHeight);')<|endoftext|>"
262,"<|endoftext|>convert Date object `dateobject` into a DateTime object: datetime.datetime.combine(dateobject, datetime.time())<|endoftext|>"
263,<|endoftext|>check if any item from list `b` is in list `a`: print(any(x in a for x in b))<|endoftext|>
264,"<|endoftext|>save a numpy array `image_array` as an image 'outfile.jpg': scipy.misc.imsave('outfile.jpg', image_array)<|endoftext|>"
265,"<|endoftext|>Remove anything in parenthesis from string `item` with a regex: item = re.sub(' ?\\([^)]+\\)', '', item)<|endoftext|>"
266,"<|endoftext|>Remove word characters in parenthesis from string `item` with a regex: item = re.sub(' ?\\(\\w+\\)', '', item)<|endoftext|>"
267,"<|endoftext|>Remove all data inside parenthesis in string `item`: item = re.sub(' \\(\\w+\\)', '', item)<|endoftext|>"
268,<|endoftext|>check if any elements in one list `list1` are in another list `list2`: len(set(list1).intersection(list2)) > 0<|endoftext|>
269,"<|endoftext|>convert hex string `s` to decimal: i = int(s, 16)<|endoftext|>"
270,"<|endoftext|>convert hex string ""0xff"" to decimal: int('0xff', 16)<|endoftext|>"
271,"<|endoftext|>convert hex string ""FFFF"" to decimal: int('FFFF', 16)<|endoftext|>"
272,<|endoftext|>convert hex string '0xdeadbeef' to decimal: ast.literal_eval('0xdeadbeef')<|endoftext|>
273,"<|endoftext|>convert hex string 'deadbeef' to decimal: int('deadbeef', 16)<|endoftext|>"
274,<|endoftext|>take screenshot 'screen.png' on mac os x: os.system('screencapture screen.png')<|endoftext|>
275,"<|endoftext|>Set a window size to `1400, 1000` using selenium webdriver: driver.set_window_size(1400, 1000)<|endoftext|>"
276,"<|endoftext|>replace non-ascii chars from a unicode string u'm\xfasica': unicodedata.normalize('NFKD', 'm\xfasica').encode('ascii', 'ignore')<|endoftext|>"
277,"<|endoftext|>concatenate dataframe `df1` with `df2` whilst removing duplicates: pandas.concat([df1, df2]).drop_duplicates().reset_index(drop=True)<|endoftext|>"
278,"<|endoftext|>Construct an array with data type float32 `a` from data in binary file 'filename': a = numpy.fromfile('filename', dtype=numpy.float32)<|endoftext|>"
279,"<|endoftext|>execute a mv command `mv /home/somedir/subdir/* somedir/` in subprocess: subprocess.call('mv /home/somedir/subdir/* somedir/', shell=True)<|endoftext|>"
281,<|endoftext|>print a character that has unicode value `\u25b2`: print('\u25b2'.encode('utf-8'))<|endoftext|>
282,"<|endoftext|>compare contents  at filehandles `file1` and `file2` using difflib: difflib.SequenceMatcher(None, file1.read(), file2.read())<|endoftext|>"
283,"<|endoftext|>Create a dictionary from string `e` separated by `-` and `,`: dict((k, int(v)) for k, v in (e.split(' - ') for e in s.split(',')))<|endoftext|>"
284,"<|endoftext|>check if all elements in a tuple `(1, 6)` are in another `(1, 2, 3, 4, 5)`: all(i in (1, 2, 3, 4, 5) for i in (1, 6))<|endoftext|>"
285,<|endoftext|>extract unique dates from time series 'Date' in dataframe `df`: df['Date'].map(lambda t: t.date()).unique()<|endoftext|>
286,"<|endoftext|>right align string `mystring` with a width of 7: """"""{:>7s}"""""".format(mystring)<|endoftext|>"
287,"<|endoftext|>read an excel file 'ComponentReport-DJI.xls': open('ComponentReport-DJI.xls', 'rb').read(200)<|endoftext|>"
288,"<|endoftext|>sort dataframe `df` based on column 'b' in ascending and column 'c' in descending: df.sort_values(['b', 'c'], ascending=[True, False], inplace=True)<|endoftext|>"
289,"<|endoftext|>sort dataframe `df` based on column 'a' in ascending and column 'b' in descending: df.sort_values(['a', 'b'], ascending=[True, False])<|endoftext|>"
290,"<|endoftext|>sort a pandas data frame with column `a` in ascending and `b` in descending order: df1.sort(['a', 'b'], ascending=[True, False], inplace=True)<|endoftext|>"
291,"<|endoftext|>sort a pandas data frame by column `a` in ascending, and by column `b` in descending order: df.sort(['a', 'b'], ascending=[True, False])<|endoftext|>"
292,<|endoftext|>django redirect to view 'Home.views.index': redirect('Home.views.index')<|endoftext|>
293,"<|endoftext|>remove all values within one list `[2, 3, 7]` from another list `a`: [x for x in a if x not in [2, 3, 7]]<|endoftext|>"
294,"<|endoftext|>remove the punctuation '!', '.', ':' from a string `asking`: out = ''.join(c for c in asking if c not in ('!', '.', ':'))<|endoftext|>"
295,"<|endoftext|>BeautifulSoup get value associated with attribute 'content' where attribute 'name' is equal to 'City' in tag 'meta' in HTML parsed string `soup`: soup.find('meta', {'name': 'City'})['content']<|endoftext|>"
296,<|endoftext|>unquote a urlencoded unicode string '%0a': urllib.parse.unquote('%0a')<|endoftext|>
297,<|endoftext|>decode url `url` from UTF-16 code to UTF-8 code: urllib.parse.unquote(url).decode('utf8')<|endoftext|>
298,<|endoftext|>empty a list `lst`: del lst[:]<|endoftext|>
299,<|endoftext|>empty a list `lst`: del lst1[:]<|endoftext|>
300,<|endoftext|>empty a list `lst`: lst[:] = []<|endoftext|>
301,<|endoftext|>empty a list `alist`: alist[:] = []<|endoftext|>
302,<|endoftext|>reset index of series `s`: s.reset_index(0).reset_index(drop=True)<|endoftext|>
303,<|endoftext|>convert unicode text from list `elems` with index 0 to normal text 'utf-8': elems[0].getText().encode('utf-8')<|endoftext|>
304,"<|endoftext|>create a list containing the subtraction of each item in list `L` from the item prior to it: [(y - x) for x, y in zip(L, L[1:])]<|endoftext|>"
305,"<|endoftext|>get value in string `line` matched by regex pattern '\\bLOG_ADDR\\s+(\\S+)': print(re.search('\\bLOG_ADDR\\s+(\\S+)', line).group(1))<|endoftext|>"
306,<|endoftext|>import all classes from module `some.package`: globals().update(importlib.import_module('some.package').__dict__)<|endoftext|>
307,"<|endoftext|>convert a list of characters `['a', 'b', 'c', 'd']` into a string: """""""""""".join(['a', 'b', 'c', 'd'])<|endoftext|>"
308,"<|endoftext|>Slice `url` with '&' as delimiter  to get  ""http://www.domainname.com/page?CONTENT_ITEM_ID=1234"" from url ""http://www.domainname.com/page?CONTENT_ITEM_ID=1234&param2&param3
"": url.split('&')<|endoftext|>"
309,<|endoftext|>sort dictionary `d` by key: od = collections.OrderedDict(sorted(d.items()))<|endoftext|>
310,"<|endoftext|>sort a dictionary `d` by key: OrderedDict(sorted(list(d.items()), key=(lambda t: t[0])))<|endoftext|>"
311,"<|endoftext|>Execute a put request to the url `url`: response = requests.put(url, data=json.dumps(data), headers=headers)<|endoftext|>"
312,"<|endoftext|>replace everything that is not an alphabet or a digit with '' in 's'.: re.sub('[\\W_]+', '', s)<|endoftext|>"
313,<|endoftext|>create a list of aggregation of each element from list `l2` to all elements of list `l1`: [(x + y) for x in l2 for y in l1]<|endoftext|>
314,<|endoftext|>convert string `x'  to dictionary splitted by `=` using list comprehension: dict([x.split('=') for x in s.split()])<|endoftext|>
315,<|endoftext|>remove index 2 element from a list `my_list`: my_list.pop(2)<|endoftext|>
316,"<|endoftext|>Delete character ""M"" from a string `s` using python: s = s.replace('M', '')<|endoftext|>"
318,"<|endoftext|>get the sum of the products of each pair of corresponding elements in lists `a` and `b`: sum(x * y for x, y in zip(a, b))<|endoftext|>"
319,"<|endoftext|>sum the products of each two elements at the same index of list `a` and list `b`: list(x * y for x, y in list(zip(a, b)))<|endoftext|>"
320,"<|endoftext|>sum the product of each two items at the same index of list `a` and list `b`: sum(i * j for i, j in zip(a, b))<|endoftext|>"
321,"<|endoftext|>sum the product of elements of two lists named `a` and `b`: sum(x * y for x, y in list(zip(a, b)))<|endoftext|>"
322,"<|endoftext|>write the content of file `xxx.mp4` to file `f`: f.write(open('xxx.mp4', 'rb').read())<|endoftext|>"
323,<|endoftext|>Add 1 to each integer value in list `my_list`: new_list = [(x + 1) for x in my_list]<|endoftext|>
324,<|endoftext|>get a list of all items in list `j` with values greater than `5`: [x for x in j if x >= 5]<|endoftext|>
325,"<|endoftext|>set color marker styles `--bo` in matplotlib: plt.plot(list(range(10)), '--bo')<|endoftext|>"
326,"<|endoftext|>set circle markers on plot for individual points  defined in list   `[1,2,3,4,5,6,7,8,9,10]` created by range(10): plt.plot(list(range(10)), linestyle='--', marker='o', color='b')<|endoftext|>"
327,"<|endoftext|>split strings in list `l` on the first occurring tab `\t` and enter only the first resulting substring in a new list: [i.split('\t', 1)[0] for i in l]<|endoftext|>"
328,<|endoftext|>Split each string in list `myList` on the tab character: myList = [i.split('\t')[0] for i in myList]<|endoftext|>
329,<|endoftext|>Sum numbers in a list 'your_list': sum(your_list)<|endoftext|>
330,<|endoftext|>attach debugger pdb to class `ForkedPdb`: ForkedPdb().set_trace()<|endoftext|>
331,"<|endoftext|>Compose keys from dictionary `d1` with respective values in dictionary `d2`: result = {k: d2.get(v) for k, v in list(d1.items())}<|endoftext|>"
332,"<|endoftext|>add one day and three hours to the present time from datetime.now(): datetime.datetime.now() + datetime.timedelta(days=1, hours=3)<|endoftext|>"
334,"<|endoftext|>switch keys and values in a dictionary `my_dict`: dict((v, k) for k, v in my_dict.items())<|endoftext|>"
335,"<|endoftext|>sort a list `L` by number after second '.': print(sorted(L, key=lambda x: int(x.split('.')[2])))<|endoftext|>"
336,"<|endoftext|>Check if the value of the key ""name"" is ""Test"" in a list of dictionaries `label`: any(d['name'] == 'Test' for d in label)<|endoftext|>"
337,"<|endoftext|>remove all instances of [1, 1] from list `a`: a[:] = [x for x in a if x != [1, 1]]<|endoftext|>"
338,"<|endoftext|>remove all instances of `[1, 1]` from a list `a`: [x for x in a if x != [1, 1]]<|endoftext|>"
339,"<|endoftext|>convert a list 'a' to a dictionary where each even element represents the key to the dictionary, and the following odd element is the value: b = {a[i]: a[i + 1] for i in range(0, len(a), 2)}<|endoftext|>"
340,<|endoftext|>check whether elements in list `a` appear only once: len(set(a)) == len(a)<|endoftext|>
341,"<|endoftext|>Generate MD5 checksum of file in the path `full_path` in hashlib: print(hashlib.md5(open(full_path, 'rb').read()).hexdigest())<|endoftext|>"
343,"<|endoftext|>randomly switch letters' cases in string `s`: """""""""""".join(x.upper() if random.randint(0, 1) else x for x in s)<|endoftext|>"
344,"<|endoftext|>force bash interpreter '/bin/bash' to be used instead of shell: os.system('GREPDB=""echo 123""; /bin/bash -c ""$GREPDB""')<|endoftext|>"
345,"<|endoftext|>Run a command `echo hello world` in bash instead of shell: os.system('/bin/bash -c ""echo hello world""')<|endoftext|>"
346,"<|endoftext|>access the class variable `a_string` from a class object `test`: getattr(test, a_string)<|endoftext|>"
347,<|endoftext|>Display a image file `pathToFile`: Image.open('pathToFile').show()<|endoftext|>
348,"<|endoftext|>replace single quote character in string ""didn't"" with empty string '': """"""didn't"""""".replace(""'"", '')<|endoftext|>"
